split,method,route_id,base_instance,n_customers,network_group,feasible,reason,completion_time,n_station_visits,consecutive_same_station,repeat_energy_added,repeat_time_added,loop_guard_hit,return_value,horizon,n_continue,n_charge
train,GreedyMinimumSufficientCharge,rc105C5_NL__v0,rc105,3,Small_Network,False,NO_FEASIBLE_ACTION,240.0,50,0,0.0,0.0,True,-240.0,240.0,1,50
train,GreedyMinimumSufficientCharge,rc105C5_NL__v1,rc105,2,Small_Network,True,,186.789723176793,1,0,0.0,0.0,False,-186.789723176793,240.0,3,1
train,GreedyMinimumSufficientCharge,rc105C5_VG__v0,rc105,3,Small_Network,False,ZERO_CHARGE_NOOP,240.0,2,0,0.0,0.0,False,-240.0,240.0,1,2
train,GreedyMinimumSufficientCharge,rc105C5_VG__v1,rc105,2,Small_Network,True,,187.93394237415416,1,0,0.0,0.0,False,-187.93394237415416,240.0,3,1
train,GreedyMinimumSufficientCharge,rc204C5_L__v0,rc204,5,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0.0,0.0,False,-960.0,960.0,3,1
train,GreedyMinimumSufficientCharge,rc204C5_NL__v0,rc204,5,Small_Network,False,NO_FEASIBLE_ACTION,960.0,2,0,0.0,0.0,False,-960.0,960.0,3,2
train,GreedyMinimumSufficientCharge,rc204C5_VG__v0,rc204,5,Small_Network,False,NO_FEASIBLE_ACTION,960.0,52,0,0.0,0.0,True,-960.0,960.0,3,52
train,GreedyFullCharge,c102_50_21_NL__v0,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,50,0,0.0,0.0,True,-1236.0,1236.0,3,50
train,GreedyFullCharge,c102_50_21_NL__v1,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,52,0,0.0,0.0,True,-1236.0,1236.0,3,52
train,GreedyFullCharge,c102_50_21_NL__v2,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,50,0,0.0,0.0,True,-1236.0,1236.0,2,50
train,GreedyFullCharge,c102_50_21_NL__v3,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,51,0,0.0,0.0,True,-1236.0,1236.0,6,51
train,GreedyFullCharge,c102_50_21_NL__v4,c102,10,Large_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,6,0
train,GreedyFullCharge,r107_50_21_NL__v0,r107,11,Large_Network,False,NO_FEASIBLE_ACTION,230.0,51,0,0.0,0.0,True,-230.0,230.0,4,51
train,GreedyFullCharge,r107_50_21_NL__v1,r107,7,Large_Network,False,ZERO_CHARGE_NOOP,230.0,2,0,0.0,0.0,False,-230.0,230.0,4,2
train,GreedyFullCharge,r107_50_21_NL__v2,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,3,0
train,GreedyFullCharge,r107_50_21_NL__v3,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,4,0
train,GreedyFullCharge,r107_50_21_NL__v4,r107,8,Large_Network,False,ZERO_CHARGE_NOOP,230.0,3,0,0.0,0.0,False,-230.0,230.0,2,3
train,GreedyFullCharge,r107_50_21_NL__v5,r107,8,Large_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,5,0
train,GreedyFullCharge,c102C25_NL__v0,c102,9,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,50,0,0.0,0.0,True,-1236.0,1236.0,2,50
train,GreedyFullCharge,c102C25_NL__v1,c102,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,51,0,0.0,0.0,True,-1236.0,1236.0,5,51
train,GreedyFullCharge,c102C25_NL__v2,c102,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,52,0,0.0,0.0,True,-1236.0,1236.0,3,52
train,GreedyFullCharge,c104C25_NL__v0,c104,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,52,0,0.0,0.0,True,-1236.0,1236.0,7,52
train,GreedyFullCharge,c104C25_NL__v1,c104,9,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,51,0,0.0,0.0,True,-1236.0,1236.0,4,51
train,GreedyFullCharge,c104C25_NL__v2,c104,8,Medium_Network,False,NO_FEASIBLE_ACTION,1236.0,51,0,0.0,0.0,True,-1236.0,1236.0,7,51
train,GreedyFullCharge,r104C25_NL__v0,r104,9,Medium_Network,False,ZERO_CHARGE_NOOP,230.0,3,0,0.0,0.0,False,-230.0,230.0,6,3
